open_time,open,high,low,close,volume,close_time,number_of_trades,volatility,momentum,percent_change,risk_score
2025-12-05 22:51:00,89350.0,89376.03,89346.18,89346.21,15.91896,2025-12-05 22:51:59.999,3184,29.85000000000582,-3.789999999993597,-4.241745942913931e-05,1.8751224954397663
2025-12-05 22:52:00,89346.21,89347.4,89302.0,89302.0,5.22039,2025-12-05 22:52:59.999,2244,45.39999999999418,-44.2100000000064,-0.0004948167359310081,8.69666825658508
2025-12-05 22:53:00,89302.0,89302.01,89224.0,89224.01,4.36844,2025-12-05 22:53:59.999,5028,78.00999999999476,-77.99000000000524,-0.0008733287048442951,17.857633388576875
2025-12-05 22:54:00,89224.01,89326.0,89224.0,89307.62,5.36242,2025-12-05 22:54:59.999,3522,102.0,83.61000000000058,0.0009370796044697004,19.021262788069563
2025-12-05 22:55:00,89307.61,89307.62,89284.56,89286.19,2.19562,2025-12-05 22:55:59.999,1066,23.05999999999767,-21.419999999998254,-0.00023984518228623803,10.502728158787802
2025-12-05 22:56:00,89286.19,89286.19,89273.46,89285.07,2.10781,2025-12-05 22:56:59.999,961,12.729999999995925,-1.1199999999953434,-1.2543933165871938e-05,6.039443782881723
2025-12-05 22:57:00,89285.08,89293.5,89285.07,89293.49,3.53161,2025-12-05 22:57:59.999,577,8.429999999993015,8.410000000003492,9.419266914476071e-05,2.387013288554799
2025-12-05 22:58:00,89293.5,89293.5,89267.4,89267.4,2.78629,2025-12-05 22:58:59.999,1150,26.10000000000582,-26.10000000000582,-0.0002922945119186259,9.367294861628121
2025-12-05 22:59:00,89267.4,89267.41,89224.0,89232.47,4.54378,2025-12-05 22:59:59.999,3537,43.41000000000349,-34.929999999993015,-0.0003912962626893246,9.553719590297835
2025-12-05 23:00:00,89232.48,89248.7,89189.91,89194.93,5.2584,2025-12-05 23:00:59.999,2875,58.7899999999936,-37.55000000000291,-0.0004208108975566174,11.18020690704275
2025-12-05 23:01:00,89194.93,89194.93,89138.0,89138.01,2.49451,2025-12-05 23:01:59.999,3168,56.929999999993015,-56.919999999998254,-0.0006381528636212648,22.822117369741157
2025-12-05 23:02:00,89138.01,89146.95,89126.45,89143.44,6.45091,2025-12-05 23:02:59.999,1153,20.5,5.430000000007567,6.0916773888126594e-05,3.17784622634636
2025-12-05 23:03:00,89143.44,89143.44,89076.64,89076.65,5.95747,2025-12-05 23:03:59.999,5919,66.80000000000291,-66.79000000000815,-0.0007492418959825663,11.212813492976535
2025-12-05 23:04:00,89076.64,89094.14,89042.82,89042.83,10.28792,2025-12-05 23:04:59.999,3994,51.31999999999243,-33.80999999999767,-0.000379560791695754,4.988374715199227
2025-12-05 23:05:00,89042.83,89066.92,89020.0,89055.86,7.33788,2025-12-05 23:05:59.999,2164,46.919999999998254,13.029999999998836,0.00014633407316455278,6.394217403391477
2025-12-05 23:06:00,89055.87,89055.87,88996.0,89035.19,4.39691,2025-12-05 23:06:59.999,3063,59.86999999999534,-20.679999999993015,-0.00023221377771047563,13.616380594552844
2025-12-05 23:07:00,89035.19,89039.26,88974.55,89005.69,3.3594,2025-12-05 23:07:59.999,4019,64.70999999999185,-29.5,-0.00033132966864000626,19.262368280047582
2025-12-05 23:08:00,89005.7,89014.6,88940.2,88951.05,3.56206,2025-12-05 23:08:59.999,3539,74.40000000000873,-54.64999999999418,-0.0006140056198647298,20.886790228128874
2025-12-05 23:09:00,88951.06,89098.01,88951.05,89089.03,12.59701,2025-12-05 23:09:59.999,3141,146.95999999999185,137.97000000000116,0.0015510776375233883,11.66626048562253
2025-12-05 23:10:00,89089.02,89133.07,89068.61,89108.4,6.36396,2025-12-05 23:10:59.999,3446,64.4600000000064,19.379999999990105,0.0002175352248794532,10.128913443831578
2025-12-05 23:11:00,89108.38,89122.62,89101.98,89122.61,2.53199,2025-12-05 23:11:59.999,768,20.639999999999418,14.229999999995925,0.00015969317363861765,8.151690962444329
2025-12-05 23:12:00,89122.61,89122.62,89098.0,89098.0,1.19087,2025-12-05 23:12:59.999,1582,24.619999999995343,-24.610000000000582,-0.00027613643720713054,20.67396105367953
2025-12-05 23:13:00,89098.0,89098.01,89056.38,89056.38,2.06707,2025-12-05 23:13:59.999,2329,41.629999999990105,-41.61999999999534,-0.0004671260858829081,20.139617913273426
2025-12-05 23:14:00,89056.38,89123.46,89056.38,89123.46,6.07772,2025-12-05 23:14:59.999,773,67.08000000000175,67.08000000000175,0.0007532307062110737,11.037033624451562
2025-12-05 23:15:00,89123.45,89166.0,89123.45,89165.99,2.3068,2025-12-05 23:15:59.999,1007,42.55000000000291,42.54000000000815,0.00047731545401359746,18.445465580025537
2025-12-05 23:16:00,89166.0,89170.0,89131.83,89142.84,2.74157,2025-12-05 23:16:59.999,2748,38.169999999998254,-23.160000000003492,-0.00025974025974029893,13.922679340669125
2025-12-05 23:17:00,89142.85,89147.39,89127.3,89147.39,2.52496,2025-12-05 23:17:59.999,1192,20.089999999996508,4.539999999993597,5.092949126030407e-05,7.956561688104567
2025-12-05 23:18:00,89147.38,89152.74,89110.01,89110.01,3.8903,2025-12-05 23:18:59.999,2659,42.73000000001048,-37.370000000009895,-0.00041919347489527897,10.983728761280744
